"full_name","name","e","a","ma","i","w","diameter","om","per_y","neo","pha","spkid","pdes"
"       (2009 SG18)",,0.6738,3.04,294.71,57.84,204.62,,177.39,5.3,Y,Y,3467394,"2009 SG18"
"       (2009 TK12)",,0.5844,1.695,249.39,3.84,245.54,,245.51,2.21,Y,Y,3471590,"2009 TK12"
"       (2009 UQ)",,0.5346,1.785,124.58,14.50,306.05,,8.68,2.39,Y,Y,3471663,"2009 UQ"
"       (2009 VW)",,0.5626,1.44,266.25,7.16,256.11,,54.39,1.73,Y,Y,3475236,"2009 VW"
"       (2009 VZ)",,0.3253,1.413,300.40,12.31,221.51,,233.65,1.68,Y,Y,3475238,"2009 VZ"
"       (2009 VA26)",,0.3833,1.513,283.21,38.96,307.46,,230.70,1.86,Y,Y,3476134,"2009 VA26"
"       (2009 VQ44)",,0.7265,1.345,35.91,29.80,237.92,,46.78,1.56,Y,Y,3476771,"2009 VQ44"
"       (2009 WJ1)",,0.6784,2.455,296.40,0.62,195.14,,276.55,3.85,Y,Y,3477574,"2009 WJ1"
"       (2009 XV)",,0.6874,2.568,229.50,3.34,327.15,,44.51,4.11,Y,Y,3483055,"2009 XV"
"       (2009 XT6)",,0.7676,2.18,235.93,5.74,82.03,,264.90,3.22,Y,Y,3483513,"2009 XT6"
"       (2010 AF30)",,0.3719,1.325,171.05,3.06,162.90,,62.39,1.53,Y,Y,3485260,"2010 AF30"
"       (2010 BV132)",,0.1798,1.228,339.73,17.28,186.54,,255.00,1.36,Y,Y,54180389,"2010 BV132"
"       (2010 CN44)",,0.6712,2.866,13.91,3.86,303.96,0.340,188.75,4.85,Y,Y,3508127,"2010 CN44"
"       (2010 DO)",,0.7458,1.612,31.90,11.94,116.82,0.149,154.43,2.05,Y,Y,3508146,"2010 DO"
"       (2010 DG77)",,0.6501,2.742,5.05,16.73,196.11,,290.02,4.54,Y,Y,3511311,"2010 DG77"
"       (2010 EF44)",,0.8884,2.187,199.15,38.01,235.12,,173.69,3.23,Y,Y,3511892,"2010 EF44"
"       (2010 EK44)",,0.7722,2.837,359.20,11.26,107.70,,180.67,4.78,Y,Y,3511894,"2010 EK44"
"       (2010 FQ)",,0.3563,1.527,276.34,10.56,359.52,0.285,140.43,1.89,Y,Y,3512281,"2010 FQ"
"       (2010 FF10)",,0.6317,2.38,328.95,5.08,105.33,0.095,166.09,3.67,Y,Y,3513382,"2010 FF10"
"       (2010 FC81)",,0.6231,2.677,110.54,1.68,63.64,0.402,144.30,4.38,Y,Y,3514551,"2010 FC81"
"       (2010 GS7)",,0.6591,2.694,89.07,9.12,57.05,0.203,190.83,4.42,Y,Y,3515065,"2010 GS7"
"       (2010 GU21)",,0.5633,2.183,167.50,3.18,201.20,0.510,57.17,3.23,Y,Y,3515377,"2010 GU21"
"       (2010 HY22)",,0.7242,3.655,73.66,44.15,343.29,,19.19,6.99,Y,Y,3518309,"2010 HY22"
"       (2010 JG)",,0.3196,1.19,325.61,23.31,292.02,0.192,49.72,1.3,Y,Y,3519490,"2010 JG"
"       (2010 JK33)",,0.6101,2.232,94.39,4.04,289.86,0.208,28.54,3.33,Y,Y,3520202,"2010 JK33"
"       (2010 JV34)",,0.5441,1.723,111.43,7.21,87.03,0.226,225.32,2.26,Y,Y,3520666,"2010 JV34"
"       (2010 JJ41)",,0.6686,1.069,94.16,3.21,28.89,,50.65,1.1,Y,Y,3520759,"2010 JJ41"
"       (2010 JN71)",,0.5903,2.381,325.80,17.74,185.59,0.214,62.41,3.67,Y,Y,3521439,"2010 JN71"
"       (2010 JE88)",,0.7640,2.109,271.36,10.73,260.23,,224.59,3.06,Y,Y,3522155,"2010 JE88"
"       (2010 KQ10)",,0.6620,2.384,352.73,6.70,287.77,,243.85,3.68,Y,Y,3523945,"2010 KQ10"
"       (2010 KR10)",,0.5863,2.168,165.18,1.05,233.01,,94.46,3.19,Y,Y,3523946,"2010 KR10"
"       (2010 LK34)",,0.8073,1.829,264.88,5.32,249.31,0.108,130.07,2.47,Y,Y,3529053,"2010 LK34"
"       (2010 LZ63)",,0.7610,1.89,163.69,13.87,79.56,0.877,307.00,2.6,Y,Y,3529599,"2010 LZ63"
"       (2010 MU112)",,0.5400,1.756,25.21,48.04,119.22,0.599,261.10,2.33,Y,Y,3536555,"2010 MU112"
"       (2010 MD127)",,0.5998,1.768,66.20,19.70,112.79,,19.91,2.35,Y,Y,54205433,"2010 MD127"
"       (2010 NT81)",,0.2778,1.33,77.67,10.47,5.07,,329.89,1.53,Y,Y,54148940,"2010 NT81"
"       (2010 ON101)",,0.4095,1.629,317.67,9.31,8.14,0.238,251.57,2.08,Y,Y,3541751,"2010 ON101"
"       (2010 RA147)",,0.6542,2.161,121.05,5.82,116.76,,8.22,3.18,Y,Y,3547804,"2010 RA147"
"       (2010 RF181)",,0.5453,2.21,84.92,6.22,2.45,,51.07,3.29,Y,Y,3552292,"2010 RF181"
"       (2010 TP54)",,0.5958,2.392,273.24,3.47,67.21,,351.53,3.7,Y,Y,3548660,"2010 TP54"
"       (2010 TP55)",,0.6694,2.349,344.96,3.33,69.59,,232.77,3.6,Y,Y,3549033,"2010 TP55"
"       (2010 TS149)",,0.3900,1.498,144.64,3.43,13.33,,128.11,1.83,Y,Y,3549036,"2010 TS149"
"       (2010 TU149)",,0.8247,2.213,84.04,1.96,92.65,0.603,58.89,3.29,Y,Y,3549391,"2010 TU149"
"       (2010 TX168)",,0.5235,1.483,224.79,26.02,101.55,,32.92,1.81,Y,Y,3549694,"2010 TX168"
"       (2010 UY6)",,0.6166,2.649,84.93,19.88,20.39,0.712,9.03,4.31,Y,Y,3550042,"2010 UY6"
"       (2010 UG7)",,0.7733,2.238,48.62,15.99,102.05,,25.84,3.35,Y,Y,3550057,"2010 UG7"
"       (2010 UQ7)",,0.6783,2.454,243.70,4.51,76.59,,236.83,3.84,Y,Y,3550082,"2010 UQ7"
"       (2010 US7)",,0.6383,1.962,9.28,55.19,247.92,,240.87,2.75,Y,Y,3550084,"2010 US7"
"       (2010 UK8)",,0.6971,2.19,87.78,1.86,135.41,,11.60,3.24,Y,Y,3550127,"2010 UK8"
"       (2010 VZ)",,0.5922,2.447,227.50,8.46,215.64,0.380,181.93,3.83,Y,Y,3550233,"2010 VZ"
"       (2010 VT11)",,0.6110,1.754,22.08,2.48,65.76,0.152,249.36,2.32,Y,Y,3550464,"2010 VT11"
"       (2010 WV8)",,0.6720,2.126,188.43,8.44,288.13,,55.12,3.1,Y,Y,3552655,"2010 WV8"
"       (2010 WZ8)",,0.5035,1.973,346.56,3.70,200.48,,284.22,2.77,Y,Y,3552661,"2010 WZ8"
"       (2010 XB24)",,0.4392,1.286,117.93,5.53,285.91,,263.28,1.46,Y,Y,3553279,"2010 XB24"
"       (2010 XC25)",,0.5279,1.743,334.71,2.97,237.34,,303.85,2.3,Y,Y,3553283,"2010 XC25"
"       (2010 XA68)",,0.3013,1.157,329.14,59.28,107.46,,74.32,1.25,Y,Y,3553704,"2010 XA68"
"       (2010 XP69)",,0.3427,1.523,147.85,14.59,197.32,0.273,199.85,1.88,Y,Y,3553986,"2010 XP69"
"       (2010 YB)",,0.4945,1.822,237.61,3.60,94.54,,314.46,2.46,Y,Y,3553994,"2010 YB"
"       (2011 AM24)",,0.1489,1.177,36.53,9.14,215.29,0.511,127.13,1.28,Y,Y,3555162,"2011 AM24"
"       (2011 AT26)",,0.6971,2.373,296.09,1.75,125.07,,243.23,3.66,Y,Y,3555165,"2011 AT26"
"       (2011 BX10)",,0.6455,2.812,326.43,9.77,348.67,,79.08,4.72,Y,Y,3555653,"2011 BX10"
"       (2011 BY18)",,0.7834,2.263,22.22,3.65,240.14,,135.19,3.41,Y,Y,3555763,"2011 BY18"
"       (2011 BE38)",,0.7110,2.63,52.36,8.16,302.65,,321.35,4.27,Y,Y,3558389,"2011 BE38"
"       (2011 BM45)",,0.8033,1.921,81.25,5.32,63.29,,302.18,2.66,Y,Y,3556126,"2011 BM45"
"       (2011 BO59)",,0.4649,1.829,164.94,4.75,221.38,,343.52,2.47,Y,Y,3557481,"2011 BO59"
"       (2011 BT59)",,0.9450,2.493,192.77,3.67,305.92,,36.24,3.94,Y,Y,3557636,"2011 BT59"
"       (2011 CG2)",,0.1584,1.177,195.94,2.76,283.95,,293.17,1.28,Y,Y,3556208,"2011 CG2"
"       (2011 CT4)",,0.7186,1.726,56.10,2.65,69.68,,304.76,2.27,Y,Y,3556968,"2011 CT4"
"       (2011 CC22)",,0.1153,1.123,26.36,34.82,171.25,,130.31,1.19,Y,Y,3557196,"2011 CC22"
"       (2011 CX46)",,0.5493,1.473,181.94,7.77,105.77,,150.82,1.79,Y,Y,3557485,"2011 CX46"
"       (2011 CY46)",,0.6117,2.149,100.22,11.56,221.16,,11.09,3.15,Y,Y,3557486,"2011 CY46"
"       (2011 DS9)",,0.6427,2.622,59.49,3.70,146.25,,93.35,4.25,Y,Y,3557957,"2011 DS9"
"       (2011 EL11)",,0.6903,1.996,341.06,3.91,82.24,,313.72,2.82,Y,Y,3558375,"2011 EL11"
"       (2011 EF17)",,0.7432,2.343,246.30,4.22,282.41,,3.83,3.59,Y,Y,3558386,"2011 EF17"
"       (2011 EO40)",,0.5403,1.654,180.68,3.36,17.17,,50.25,2.13,Y,Y,3559599,"2011 EO40"
"       (2011 EL51)",,0.5687,1.191,108.42,10.98,94.85,,198.48,1.3,Y,Y,3559839,"2011 EL51"
"       (2011 EO51)",,0.7861,1.565,9.59,6.75,227.43,,175.09,1.96,Y,Y,3559842,"2011 EO51"
"       (2011 GA)",,0.5909,1.8,168.70,9.83,109.69,,200.35,2.41,Y,Y,3560915,"2011 GA"
"       (2011 GS60)",,0.9227,3.363,78.65,19.30,307.56,,137.51,6.17,Y,Y,3562866,"2011 GS60"
"       (2011 HS)",,0.6918,2.818,321.87,7.86,334.46,,182.35,4.73,Y,Y,3563859,"2011 HS"
"       (2011 JA)",,0.2875,1.185,206.39,41.62,286.18,,215.01,1.29,Y,Y,3564590,"2011 JA"
"       (2011 JD1)",,0.3576,1.112,60.02,21.95,85.63,,34.31,1.17,Y,Y,3564724,"2011 JD1"
"       (2011 JR13)",,0.7257,1.299,337.67,24.70,129.59,,235.08,1.48,Y,Y,3565474,"2011 JR13"
"       (2011 KE)",,0.9547,2.206,19.23,5.89,188.56,,205.00,3.28,Y,Y,3566441,"2011 KE"
"       (2011 KU15)",,0.8761,1.955,337.84,4.40,166.85,,214.49,2.73,Y,Y,3566695,"2011 KU15"
"       (2011 LA19)",,0.6515,2.912,231.60,19.21,202.75,0.852,97.95,4.97,Y,Y,3567991,"2011 LA19"
"       (2011 LC19)",,0.7321,3.197,99.42,10.50,139.20,,219.42,5.72,Y,Y,3567993,"2011 LC19"
"       (2011 LJ19)",,0.6208,2.622,34.96,1.54,30.50,,296.42,4.25,Y,Y,3567995,"2011 LJ19"
"       (2011 MU)",,0.6651,1.35,138.37,7.30,281.92,,99.98,1.57,Y,Y,3568319,"2011 MU"
"       (2011 OR15)",,0.4432,1.655,39.65,5.01,251.11,,146.08,2.13,Y,Y,3574100,"2011 OR15"
"       (2011 OV18)",,0.4391,1.63,68.11,16.94,148.99,,271.30,2.08,Y,Y,3574344,"2011 OV18"
"       (2011 PS)",,0.5151,1.806,125.39,3.73,26.86,,19.08,2.43,Y,Y,3574783,"2011 PS"
"       (2011 SO32)",,0.4769,1.725,247.81,9.91,243.61,,198.73,2.26,Y,Y,3578980,"2011 SO32"
"       (2011 SM68)",,0.6642,1.396,284.27,19.24,109.21,,24.02,1.65,Y,Y,3579078,"2011 SM68"
"       (2011 TK)",,0.6462,2.464,118.57,7.78,122.18,,328.34,3.87,Y,Y,3580963,"2011 TK"
"       (2011 TC4)",,0.7196,1.491,4.30,3.13,309.40,,200.68,1.82,Y,Y,3581507,"2011 TC4"
"       (2011 UG20)",,0.6867,1.124,275.01,18.99,305.07,,205.70,1.19,Y,Y,3582137,"2011 UG20"
"       (2011 UH20)",,0.3361,1.231,245.06,35.77,257.17,,21.61,1.37,Y,Y,3582138,"2011 UH20"
"       (2011 UT20)",,0.4407,1.191,272.18,6.56,246.46,,271.34,1.3,Y,Y,3582143,"2011 UT20"
"       (2011 UE305)",,0.6707,2.421,168.59,4.72,53.00,,303.66,3.77,Y,Y,3585470,"2011 UE305"
"       (2011 VU5)",,0.5567,2.198,346.18,30.47,25.01,,44.01,3.26,Y,Y,3586027,"2011 VU5"
"       (2011 WN46)",,0.4145,1.146,312.07,26.57,104.11,,43.11,1.23,Y,Y,3589298,"2011 WN46"
"       (2011 WR46)",,0.8948,2.473,347.74,4.87,323.36,,240.74,3.89,Y,Y,3589302,"2011 WR46"
"       (2011 XA3)",,0.9261,1.466,58.36,28.12,324.05,,273.30,1.78,Y,Y,3591407,"2011 XA3"
"       (2011 YE6)",,0.7290,2.813,247.12,3.06,348.27,,182.05,4.72,Y,Y,3591595,"2011 YE6"
"       (2011 YG6)",,0.2989,1.165,131.48,28.06,267.37,,92.82,1.26,Y,Y,3591611,"2011 YG6"
"       (2011 YH28)",,0.7167,2.611,345.68,8.74,288.90,,284.09,4.22,Y,Y,3591721,"2011 YH28"
"       (2011 YJ28)",,0.0926,1.06,139.72,27.08,305.89,,290.09,1.09,Y,Y,3591722,"2011 YJ28"
"       (2011 YV62)",,0.5997,1.636,91.85,7.79,85.37,,243.82,2.09,Y,Y,3591886,"2011 YV62"
"       (2012 AD3)",,0.6061,2.197,7.61,5.22,216.17,,149.75,3.26,Y,Y,3592225,"2012 AD3"
"       (2012 AA11)",,0.4857,1.977,189.77,6.42,146.10,,21.11,2.78,Y,Y,3595774,"2012 AA11"
"       (2012 BS23)",,0.5779,1.938,230.71,5.38,259.20,,317.50,2.7,Y,Y,3596143,"2012 BS23"
"       (2012 BT23)",,0.5996,1.976,179.53,9.09,43.38,,182.23,2.78,Y,Y,3596144,"2012 BT23"
"       (2012 BU61)",,0.7771,2.526,79.11,5.23,74.04,,296.22,4.01,Y,Y,3596491,"2012 BU61"
"       (2012 BJ86)",,0.6372,1.981,219.06,1.34,100.04,,301.85,2.79,Y,Y,3596845,"2012 BJ86"
"       (2012 BM86)",,0.6365,2.146,351.62,11.36,56.80,,163.81,3.14,Y,Y,3596848,"2012 BM86"
"       (2012 BB124)",,0.2112,1.155,341.11,15.79,122.80,,137.63,1.24,Y,Y,3597095,"2012 BB124"
"       (2012 CA21)",,0.6562,2.663,327.37,28.66,35.87,,127.89,4.35,Y,Y,3599062,"2012 CA21"
"       (2012 CA55)",,0.4797,1.801,58.47,8.64,41.54,,175.89,2.42,Y,Y,3599930,"2012 CA55"
"       (2012 DE31)",,0.3729,1.15,156.32,29.69,262.19,,141.63,1.23,Y,Y,3599862,"2012 DE31"
"       (2012 FQ1)",,0.6160,2.605,325.17,5.17,169.28,,98.27,4.2,Y,Y,3601471,"2012 FQ1"
"       (2012 FR1)",,0.7101,2.178,356.84,13.29,87.23,,354.55,3.21,Y,Y,3601472,"2012 FR1"
"       (2012 FG58)",,0.5473,2.147,338.18,13.52,220.51,,32.82,3.15,Y,Y,3602023,"2012 FG58"
"       (2012 FO62)",,0.5161,2.015,171.31,3.98,212.86,,258.41,2.86,Y,Y,3602063,"2012 FO62"
"       (2012 GV17)",,0.4590,1.641,274.92,11.04,311.82,,6.77,2.1,Y,Y,3602625,"2012 GV17"
"       (2012 HJ1)",,0.6066,2.002,100.32,31.30,291.25,,44.62,2.83,Y,Y,3602685,"2012 HJ1"
"       (2012 HG8)",,0.7277,2.46,104.65,25.58,256.80,,214.51,3.86,Y,Y,3602783,"2012 HG8"
"       (2012 HG31)",,0.5320,2.173,286.29,10.24,173.10,,148.28,3.2,Y,Y,3603124,"2012 HG31"
"       (2012 HZ33)",,0.2103,1.197,131.25,23.88,231.59,,54.90,1.31,Y,Y,3603170,"2012 HZ33"
"       (2012 JS11)",,0.6736,2.823,195.86,9.54,124.15,,208.02,4.74,Y,Y,3604216,"2012 JS11"
"       (2012 KA4)",,0.7800,1.1,314.06,5.80,237.50,,214.89,1.15,Y,Y,3604304,"2012 KA4"
"       (2012 KC6)",,0.2464,1.241,34.67,11.32,338.03,,195.37,1.38,Y,Y,3604307,"2012 KC6"
"       (2012 KU12)",,0.4886,1.638,23.70,8.63,74.37,,53.06,2.1,Y,Y,3604618,"2012 KU12"
"       (2012 LR1)",,0.3813,1.337,61.37,42.32,66.58,,83.09,1.55,Y,Y,3605576,"2012 LR1"
"       (2012 LK11)",,0.5938,2.428,84.47,5.15,160.03,,152.12,3.78,Y,Y,3605764,"2012 LK11"
"       (2012 MS4)",,0.7209,2.264,243.05,67.68,257.54,,265.86,3.41,Y,Y,3605890,"2012 MS4"
"       (2012 MJ6)",,0.4899,1.822,24.24,9.23,127.43,,82.18,2.46,Y,Y,3605900,"2012 MJ6"
"       (2012 MZ6)",,0.7120,2.141,19.56,1.36,225.05,,317.20,3.13,Y,Y,3605940,"2012 MZ6"
"       (2012 NN)",,0.6275,2.575,356.20,4.63,6.31,,237.52,4.13,Y,Y,3606220,"2012 NN"
"       (2012 OQ)",,0.3950,1.191,101.00,7.10,100.76,,294.00,1.3,Y,Y,3606253,"2012 OQ"
"       (2012 OP4)",,0.6584,2.118,325.38,20.65,262.86,,143.56,3.08,Y,Y,3606308,"2012 OP4"
"       (2012 PS4)",,0.5934,1.767,92.56,3.94,144.24,,86.18,2.35,Y,Y,3607382,"2012 PS4"
"       (2012 QC8)",,0.7586,2.821,195.71,5.68,47.73,,22.17,4.74,Y,Y,3607728,"2012 QC8"
"       (2012 QG42)",,0.3745,1.026,162.56,6.81,116.18,,344.77,1.04,Y,Y,3608092,"2012 QG42"
"       (2012 QE50)",,0.4410,1.733,82.70,11.90,224.89,,193.91,2.28,Y,Y,3608326,"2012 QE50"
"       (2012 RG15)",,0.4536,1.077,1.64,48.94,247.24,,336.61,1.12,Y,Y,3608618,"2012 RG15"
"       (2012 TY52)",,0.5531,1.664,176.82,9.63,252.88,,221.58,2.15,Y,Y,3610024,"2012 TY52"
"       (2012 TF53)",,0.3689,1.426,316.78,6.13,282.41,,201.04,1.7,Y,Y,3610029,"2012 TF53"
"       (2012 TO139)",,0.8884,2.441,76.03,5.36,56.40,,179.14,3.81,Y,Y,3610526,"2012 TO139"
"       (2012 TP139)",,0.4649,1.467,327.63,2.34,3.37,,271.76,1.78,Y,Y,3610527,"2012 TP139"
"       (2012 TJ146)",,0.6446,2.681,235.93,5.17,54.90,,41.44,4.39,Y,Y,3610765,"2012 TJ146"
"       (2012 UZ33)",,0.5804,2.228,249.31,3.36,224.77,,85.88,3.33,Y,Y,3612842,"2012 UZ33"
"       (2012 UU136)",,0.2120,1.16,313.23,35.59,227.73,,36.08,1.25,Y,Y,3614397,"2012 UU136"
"       (2012 UR138)",,0.5430,1.968,152.87,7.78,49.08,,255.87,2.76,Y,Y,3614639,"2012 UR138"
"       (2012 UR158)",,0.8576,2.232,192.01,3.19,239.43,0.629,286.45,3.33,Y,Y,3614980,"2012 UR158"
"       (2012 VK6)",,0.7054,2.303,20.21,1.84,339.31,,291.02,3.5,Y,Y,3616694,"2012 VK6"
"       (2012 VL6)",,0.5659,2.343,115.54,8.73,19.28,,19.48,3.59,Y,Y,3616695,"2012 VL6"
"       (2012 VO6)",,0.5355,1.966,85.72,3.57,243.78,,242.47,2.76,Y,Y,3616698,"2012 VO6"
"       (2012 VF37)",,0.6514,2.463,13.62,4.90,58.77,,82.40,3.87,Y,Y,3617158,"2012 VF37"
"       (2012 VC82)",,0.5813,2.38,89.63,10.81,29.27,,355.34,3.67,Y,Y,3618023,"2012 VC82"
"       (2012 XO111)",,0.4980,2.005,31.38,4.27,189.89,,328.03,2.84,Y,Y,3620666,"2012 XO111"
"       (2012 XA133)",,0.6977,1.328,320.72,4.06,77.99,,225.56,1.53,Y,Y,3620863,"2012 XA133"
"       (2012 XJ134)",,0.7376,2.567,328.55,2.47,124.49,,237.02,4.11,Y,Y,3621018,"2012 XJ134"
"       (2012 YO1)",,0.4900,1.825,301.09,17.47,312.74,,85.81,2.46,Y,Y,3621620,"2012 YO1"
"       (2012 YO3)",,0.6726,2.439,49.00,3.60,351.45,,30.95,3.81,Y,Y,3621700,"2012 YO3"
"       (2012 YY6)",,0.6812,1.525,125.24,4.03,317.79,,22.62,1.88,Y,Y,3621805,"2012 YY6"
"       (2013 AS27)",,0.2285,1.105,132.56,33.59,253.43,,105.21,1.16,Y,Y,3623580,"2013 AS27"
"       (2013 AN60)",,0.5822,1.894,212.27,6.95,125.73,,248.51,2.61,Y,Y,3623947,"2013 AN60"
"       (2013 BC18)",,0.7696,2.754,192.05,24.79,262.35,,286.11,4.57,Y,Y,3624741,"2013 BC18"
"       (2013 BD18)",,0.6638,2.319,101.06,17.27,251.73,,285.05,3.53,Y,Y,3624742,"2013 BD18"
"       (2013 BO76)",,0.5201,1.701,36.85,1.95,4.96,,242.18,2.22,Y,Y,3626394,"2013 BO76"
"       (2013 ED28)",,0.6667,1.55,33.70,4.89,258.55,,152.93,1.93,Y,Y,3631824,"2013 ED28"
"       (2013 ER89)",,0.5357,1.695,49.53,26.98,283.62,,0.95,2.21,Y,Y,3632244,"2013 ER89"
"       (2013 EV108)",,0.6342,2.398,27.43,8.42,215.22,,33.34,3.71,Y,Y,3632675,"2013 EV108"
"       (2013 EO126)",,0.7822,2.297,96.36,2.98,148.55,,153.40,3.48,Y,Y,3633047,"2013 EO126"
"       (2013 FX7)",,0.3099,1.266,13.12,5.22,28.91,,211.53,1.42,Y,Y,3633048,"2013 FX7"
"       (2013 FA8)",,0.6738,1.929,137.64,3.12,281.00,,165.46,2.68,Y,Y,3633051,"2013 FA8"
"       (2013 FW13)",,0.3619,1.121,331.39,23.42,272.17,,175.80,1.19,Y,Y,3633188,"2013 FW13"
"       (2013 GY7)",,0.2306,1.247,353.08,29.57,128.60,,189.90,1.39,Y,Y,3634185,"2013 GY7"
"       (2013 GR38)",,0.5567,1.79,263.01,4.59,68.39,,218.64,2.39,Y,Y,3634388,"2013 GR38"
"       (2013 GS66)",,0.5843,2.011,33.92,2.44,273.41,,204.25,2.85,Y,Y,3634615,"2013 GS66"
"       (2013 GG69)",,0.6694,2.684,180.05,9.26,144.73,,183.17,4.4,Y,Y,3634711,"2013 GG69"
"       (2013 GZ73)",,0.6172,2.372,94.57,7.34,340.19,,116.76,3.65,Y,Y,3634781,"2013 GZ73"
"       (2013 GA80)",,0.1534,1.174,50.17,32.19,133.15,,29.10,1.27,Y,Y,3634847,"2013 GA80"
"       (2013 GH84)",,0.3716,1.564,306.50,14.90,186.50,,53.35,1.96,Y,Y,3634904,"2013 GH84"
"       (2013 JM7)",,0.2740,1.211,46.03,4.96,154.85,,242.47,1.33,Y,Y,3638239,"2013 JM7"
"       (2013 JN7)",,0.6400,1.719,70.49,2.25,167.53,,297.49,2.25,Y,Y,3638237,"2013 JN7"
"       (2013 JM14)",,0.5097,1.894,164.12,8.09,44.63,,109.36,2.61,Y,Y,3638288,"2013 JM14"
"       (2013 JL22)",,0.5943,1.187,349.55,3.06,69.09,,37.95,1.29,Y,Y,3638380,"2013 JL22"
"       (2013 JR28)",,0.6548,2.201,154.34,6.55,230.57,,103.54,3.26,Y,Y,3638466,"2013 JR28"
"       (2013 KZ1)",,0.5065,1.563,260.98,29.20,104.73,,236.01,1.95,Y,Y,3638629,"2013 KZ1"
"       (2013 LE16)",,0.6077,2.564,265.77,32.83,198.13,,81.77,4.11,Y,Y,3640745,"2013 LE16"
"       (2013 LG16)",,0.4082,1.6,26.65,11.15,209.56,,232.78,2.02,Y,Y,3640747,"2013 LG16"
"       (2013 LM31)",,0.6550,2.265,93.33,1.75,251.17,,103.16,3.41,Y,Y,3644047,"2013 LM31"
"       (2013 LN31)",,0.8022,2.258,106.82,23.21,278.85,,100.76,3.39,Y,Y,3644046,"2013 LN31"
"       (2013 MW6)",,0.4837,1.733,17.56,5.51,191.24,,0.75,2.28,Y,Y,3644231,"2013 MW6"
"       (2013 NJ10)",,0.4573,1.613,343.40,7.04,25.16,,90.71,2.05,Y,Y,3644813,"2013 NJ10"
"       (2013 NF19)",,0.6953,1.67,104.95,27.33,263.10,,283.23,2.16,Y,Y,3645089,"2013 NF19"
"       (2013 ND24)",,0.7428,2.048,283.50,3.64,97.24,,295.10,2.93,Y,Y,3645192,"2013 ND24"
"       (2013 OD4)",,0.7763,1.885,96.77,12.20,299.38,,127.35,2.59,Y,Y,3645200,"2013 OD4"
"       (2013 PV13)",,0.6449,2.749,153.45,11.88,221.54,,151.13,4.56,Y,Y,3645384,"2013 PV13"
"       (2013 QR1)",,0.7369,1.95,16.04,45.64,279.37,,151.51,2.72,Y,Y,3645993,"2013 QR1"
"       (2013 QU1)",,0.2495,1.184,330.09,35.24,55.25,,149.13,1.29,Y,Y,3646046,"2013 QU1"
"       (2013 QC11)",,0.6191,1.511,34.74,2.15,332.77,,250.45,1.86,Y,Y,3646734,"2013 QC11"
"       (2013 RZ73)",,0.5341,1.368,13.45,25.13,262.33,,355.54,1.6,Y,Y,3648203,"2013 RZ73"
"       (2013 RH74)",,0.5942,2.284,56.45,5.48,227.76,,200.43,3.45,Y,Y,3648205,"2013 RH74"
"       (2013 RJ74)",,0.7207,2.819,99.22,22.50,124.48,,348.13,4.73,Y,Y,3648317,"2013 RJ74"
"       (2013 SW24)",,0.6514,2.672,199.79,6.14,323.85,,347.16,4.37,Y,Y,3648716,"2013 SW24"
"       (2013 TR132)",,0.3614,1.45,124.53,31.96,330.10,,35.38,1.75,Y,Y,3651153,"2013 TR132"
"       (2013 TE135)",,0.7580,2.364,27.99,6.05,103.12,,182.24,3.64,Y,Y,3651158,"2013 TE135"
"       (2013 TT135)",,0.6015,2.144,199.31,6.49,327.28,,341.40,3.14,Y,Y,3651169,"2013 TT135"
"       (2013 TV135)",,0.5941,2.426,334.39,6.74,23.87,,333.33,3.78,Y,Y,3651198,"2013 TV135"
"       (2013 US3)",,0.1851,1.202,357.31,12.32,134.19,,39.54,1.32,Y,Y,3653190,"2013 US3"
"       (2013 VO5)",,0.6908,1.279,237.24,2.02,211.07,,74.00,1.45,Y,Y,3653537,"2013 VO5"
"       (2013 VY13)",,0.5143,1.732,308.27,5.52,87.19,,261.18,2.28,Y,Y,3653699,"2013 VY13"
"       (2013 WR43)",,0.3671,1.413,230.73,5.90,42.20,,280.16,1.68,Y,Y,3653902,"2013 WR43"
"       (2013 WT44)",,0.5654,2.264,47.63,12.20,325.86,0.653,182.67,3.41,Y,Y,3653916,"2013 WT44"
"       (2013 WT45)",,0.4669,1.63,44.56,9.34,122.09,0.185,33.02,2.08,Y,Y,3653970,"2013 WT45"
"       (2013 WR67)",,0.7158,2.554,252.11,4.93,75.08,,263.37,4.08,Y,Y,3654057,"2013 WR67"
"       (2013 WF108)",,0.5736,1.994,263.69,23.45,309.03,,238.96,2.82,Y,Y,3654378,"2013 WF108"
"       (2013 XW3)",,0.4802,1.737,303.99,4.63,284.38,,70.51,2.29,Y,Y,3654338,"2013 XW3"
"       (2013 YC)",,0.9427,2.496,278.67,2.79,34.64,,262.21,3.94,Y,Y,3655362,"2013 YC"
"       (2013 YP139)",,0.6829,2.4,337.58,0.82,83.83,0.402,291.89,3.72,Y,Y,3655751,"2013 YP139"
"       (2014 BW2)",,0.4766,1.886,23.03,16.51,26.71,,163.20,2.59,Y,Y,3656788,"2014 BW2"
"       (2014 BX2)",,0.7610,2.215,70.56,2.25,99.97,0.110,135.81,3.3,Y,Y,3656789,"2014 BX2"
"       (2014 CZ2)",,0.6370,2.332,329.19,13.79,111.87,,123.55,3.56,Y,Y,3661319,"2014 CZ2"
"       (2014 CY4)",,0.8186,2.655,184.10,15.02,289.47,0.574,126.57,4.33,Y,Y,3661368,"2014 CY4"
