"full_name","name","e","a","ma","i","w","diameter","om","per_y","neo","pha","spkid","pdes"
"549948 (2011 WL2)",,0.2834,1.078,275.83,14.13,88.85,,212.91,1.12,Y,Y,20549948,549948
"551685 (2013 HT15)",,0.4229,1.101,265.36,2.92,315.92,,23.28,1.16,Y,Y,20551685,551685
"585310 (2017 YZ1)",,0.3351,1.328,99.80,20.87,298.49,,277.70,1.53,Y,Y,20585310,585310
"605070 (2016 BT39)",,0.5382,1.968,80.29,8.96,203.19,,174.97,2.76,Y,Y,20605070,605070
"612012 (1983 LC)",,0.7146,2.603,270.70,1.56,184.90,,159.69,4.2,Y,Y,20612012,612012
"612050 (1997 GL3)",,0.7844,2.27,23.62,6.68,262.58,,194.34,3.42,Y,Y,20612050,612050
"612098 (1999 RM45)",,0.6446,1.684,215.47,10.89,88.91,,162.63,2.19,Y,Y,20612098,612098
"612143 (2000 BO28)",,0.6003,1.699,1.98,6.34,303.41,,319.73,2.21,Y,Y,20612143,612143
"612227 (2001 QC34)",,0.1876,1.129,332.57,6.24,215.47,,271.45,1.2,Y,Y,20612227,612227
"612267 (2001 SG286)",,0.3474,1.358,236.56,7.77,56.28,,241.11,1.58,Y,Y,20612267,612267
"612326 (2002 CD14)",,0.5793,1.779,149.31,2.89,141.32,,127.60,2.37,Y,Y,20612326,612326
"612337 (2002 EY2)",,0.4866,1.725,67.64,21.73,51.10,,343.39,2.27,Y,Y,20612337,612337
"612342 (2002 FC)",,0.6660,2.822,249.51,6.76,195.23,,50.10,4.74,Y,Y,20612342,612342
"612348 (2002 GZ8)",,0.6402,2.821,287.59,5.32,161.48,,309.75,4.74,Y,Y,20612348,612348
"612358 (2002 JE9)",,0.4165,1.066,201.66,8.77,255.90,,199.83,1.1,Y,Y,20612358,612358
"612509 (2002 UK11)",,0.5753,1.324,107.30,5.37,84.54,,69.18,1.52,Y,Y,20612509,612509
"612522 (2002 VP69)",,0.5270,2.019,202.97,10.12,189.04,,306.83,2.87,Y,Y,20612522,612522
"612536 (2003 AA3)",,0.2893,1.421,311.80,13.78,347.03,,106.38,1.69,Y,Y,20612536,612536
"612780 (2004 MD)",,0.5365,1.917,255.42,9.77,124.28,,85.39,2.66,Y,Y,20612780,612780
"612786 (2004 PJ2)",,0.3421,1.418,23.99,2.58,281.78,,317.10,1.69,Y,Y,20612786,612786
"612813 (2004 RF84)",,0.6038,2.164,71.76,23.29,122.61,,344.52,3.18,Y,Y,20612813,612813
"612856 (2004 TP1)",,0.3892,1.291,182.75,7.49,87.86,,30.02,1.47,Y,Y,20612856,612856
"612901 (2004 XP14)",,0.1586,1.052,54.12,32.95,273.74,,281.01,1.08,Y,Y,20612901,612901
"612924 (2005 CL)",,0.7547,1.986,338.02,4.45,298.57,,318.37,2.8,Y,Y,20612924,612924
"612989 (2005 LW39)",,0.7156,1.988,341.28,28.47,275.19,,251.45,2.8,Y,Y,20612989,612989
"613450 (2006 PY17)",,0.6404,1.895,303.70,2.85,133.19,,309.91,2.61,Y,Y,20613450,613450
"613714 (2007 DL41)",,0.4765,1.457,286.02,4.67,140.23,,150.72,1.76,Y,Y,20613714,613714
"613986 (2008 JG)",,0.2959,1.051,324.38,7.92,242.35,,128.74,1.08,Y,Y,20613986,613986
"614433 (2009 KK)",,0.4552,1.502,95.41,18.21,247.34,,68.12,1.84,Y,Y,20614433,614433
"614470 Flordeneu (2009 ST19)",Flordeneu,0.5949,2.361,59.52,6.73,336.93,,0.13,3.63,Y,Y,20614470,614470
"618350 (2021 PS2)",,0.4735,1.554,257.34,7.92,79.01,,163.29,1.94,Y,Y,20618350,618350
"619106 (2005 SQ)",,0.5748,1.654,28.92,1.20,294.98,,317.11,2.13,Y,Y,20619106,619106
"619920 (2006 KY86)",,0.6486,2.294,114.32,7.47,321.65,,222.29,3.47,Y,Y,20619920,619920
"620055 (2003 BK47)",,0.7062,2.749,318.54,20.66,235.34,,138.78,4.56,Y,Y,20620055,620055
"620056 (2004 UR1)",,0.6164,2.175,99.22,4.08,73.45,,250.92,3.21,Y,Y,20620056,620056
"620063 (2009 DH39)",,0.6001,1.849,58.35,53.69,68.25,,155.39,2.51,Y,Y,20620063,620063
"620066 (2010 SC41)",,0.6068,1.866,142.47,0.25,267.58,,235.53,2.55,Y,Y,20620066,620066
"620071 (2011 WN15)",,0.8580,1.217,249.46,33.43,218.57,,75.55,1.34,Y,Y,20620071,620071
"620082 (2014 QL433)",,0.7170,2.092,158.82,4.43,260.62,,322.63,3.02,Y,Y,20620082,620082
"620085 (2014 WG365)",,0.3333,1.296,155.10,25.12,111.13,,71.31,1.47,Y,Y,20620085,620085
"620092 (2015 HB10)",,0.5716,1.853,346.91,5.70,79.69,,6.12,2.52,Y,Y,20620092,620092
"620094 (2016 AJ193)",,0.8163,3.261,185.53,22.57,82.14,1.374,331.16,5.89,Y,Y,20620094,620094
"620095 (2016 CB194)",,0.6322,2.512,119.35,9.88,325.74,,48.47,3.98,Y,Y,20620095,620095
"620096 Curupira (2016 HL)",Curupira,0.6157,1.813,195.15,5.15,252.07,,232.69,2.44,Y,Y,20620096,620096
"620099 (2016 OP5)",,0.4523,1.616,338.29,8.24,291.04,,79.52,2.05,Y,Y,20620099,620099
"620100 (2016 WJ1)",,0.5031,1.34,345.15,2.89,87.77,,81.99,1.55,Y,Y,20620100,620100
"620103 (2018 LC3)",,0.5479,1.346,55.37,44.36,76.26,,111.17,1.56,Y,Y,20620103,620103
"620107 (2020 XK7)",,0.5593,2.012,81.97,8.08,26.95,,197.59,2.85,Y,Y,20620107,620107
"621890 (2011 PO1)",,0.6346,2.515,98.78,5.74,166.79,,210.64,3.99,Y,Y,20621890,621890
"627157 (2008 OX1)",,0.2776,1.206,138.09,29.74,281.35,,304.82,1.32,Y,Y,20627157,627157
"657084 (2016 GT220)",,0.3799,1.608,244.19,23.65,27.02,,3.09,2.04,Y,Y,20657084,657084
"660096 (1998 SL36)",,0.4181,1.391,253.30,19.06,116.80,,353.08,1.64,Y,Y,20660096,660096
"666729 (2010 TV149)",,0.5188,1.699,76.23,9.79,42.90,,78.58,2.21,Y,Y,20666729,666729
"667255 (2011 EG17)",,0.4188,1.38,210.56,20.11,241.55,,170.10,1.62,Y,Y,20667255,667255
"668949 (2012 PP28)",,0.6067,1.989,100.32,5.67,133.68,,254.05,2.81,Y,Y,20668949,668949
"669051 (2012 SD22)",,0.5727,1.964,105.48,7.91,313.83,,140.22,2.75,Y,Y,20669051,669051
"669555 (2012 YQ1)",,0.5627,1.998,50.22,5.15,42.26,,120.01,2.82,Y,Y,20669555,669555
"671294 (2014 JO25)",,0.8867,2.066,201.55,25.16,49.91,,30.28,2.97,Y,Y,20671294,671294
"671970 (2014 QO296)",,0.4701,1.835,59.12,10.94,30.72,,193.51,2.49,Y,Y,20671970,671970
"672457 (2014 UR116)",,0.7278,2.07,142.70,6.57,286.96,,5.81,2.98,Y,Y,20672457,672457
"672745 (2014 WV363)",,0.5158,1.846,18.13,5.53,210.03,,77.95,2.51,Y,Y,20672745,672745
"673011 (2015 AR45)",,0.7013,1.385,38.07,9.23,239.63,,114.35,1.63,Y,Y,20673011,673011
"674590 (2015 RH2)",,0.2666,1.218,210.05,5.36,115.37,,332.38,1.34,Y,Y,20674590,674590
"675603 (2015 XE352)",,0.3891,1.335,45.42,2.05,225.54,,45.18,1.54,Y,Y,20675603,675603
"678413 (2017 SV20)",,0.3054,1.303,52.25,22.73,119.66,,110.86,1.49,Y,Y,20678413,678413
"678715 (2017 VV14)",,0.8450,2.24,48.24,15.89,234.76,,77.93,3.35,Y,Y,20678715,678715
"678927 (2018 BP)",,0.3977,1.557,197.14,3.33,216.51,,183.28,1.94,Y,Y,20678927,678927
"678976 (2018 EH4)",,0.6126,2.06,104.41,6.19,75.23,,2.83,2.96,Y,Y,20678976,678976
"679440 (2019 GT2)",,0.5108,1.84,158.02,6.74,343.89,,88.38,2.5,Y,Y,20679440,679440
"679655 (2020 BS12)",,0.7457,1.49,241.41,4.63,90.29,,311.97,1.82,Y,Y,20679655,679655
"679656 (2020 BP13)",,0.3525,1.568,93.49,8.14,357.32,,208.99,1.96,Y,Y,20679656,679656
"679786 (2020 QG3)",,0.5654,2.089,113.31,7.43,229.76,,186.56,3.02,Y,Y,20679786,679786
"679814 (2020 TH5)",,0.3985,1.425,54.43,4.60,326.46,,175.77,1.7,Y,Y,20679814,679814
"679885 (2021 NQ5)",,0.4937,1.611,166.37,1.42,299.07,,115.35,2.05,Y,Y,20679885,679885
"696513 (2016 NL56)",,0.5450,1.407,270.79,4.60,87.43,,340.90,1.67,Y,Y,20696513,696513
"712200 (2014 SM143)",,0.4226,1.206,153.82,24.21,89.64,,28.81,1.32,Y,Y,20712200,712200
"719194 (2018 PL23)",,0.7870,1.567,341.87,14.35,293.68,,178.29,1.96,Y,Y,20719194,719194
"       (1979 XB)",,0.7084,2.228,346.32,24.73,75.58,,86.06,3.33,Y,Y,3012393,"1979 XB"
"       (1991 GO)",,0.6541,1.926,214.92,9.55,89.75,,23.96,2.67,Y,Y,3002856,"1991 GO"
"       (1994 CJ1)",,0.3255,1.491,255.84,2.31,65.37,,172.01,1.82,Y,Y,3012398,"1994 CJ1"
"       (1994 EK)",,0.6386,2.151,279.51,6.04,99.44,,332.83,3.15,Y,Y,3012399,"1994 EK"
"       (1994 NE)",,0.6064,2.047,344.65,27.59,246.12,,104.99,2.93,Y,Y,3005942,"1994 NE"
"       (1996 JA1)",,0.7002,2.569,319.15,21.60,248.53,,55.80,4.12,Y,Y,3009026,"1996 JA1"
"       (1997 GD32)",,0.5991,2.103,348.48,5.26,226.57,,55.31,3.05,Y,Y,3010077,"1997 GD32"
"       (1997 QK1)",,0.6465,2.783,297.65,2.89,3.00,,306.76,4.64,Y,Y,3010679,"1997 QK1"
"       (1997 VG6)",,0.5615,1.602,41.44,18.43,250.51,,51.99,2.03,Y,Y,3092166,"1997 VG6"
"       (1997 WQ23)",,0.4947,1.737,295.07,2.45,296.63,,55.82,2.29,Y,Y,3007574,"1997 WQ23"
"       (1998 BY7)",,0.6088,2.02,80.60,3.28,90.63,,121.88,2.87,Y,Y,3011167,"1998 BY7"
"       (1998 HT31)",,0.6928,2.511,348.07,6.79,80.42,,213.90,3.98,Y,Y,3013039,"1998 HT31"
